"IV_Item_RecID","Product ID","Description","Price","Cost","Taxable","Serialized","Serialized Cost","Type","Category","Subcategory","Class","SLA","Phase Product","Status","Manufacturer","Mfg Part #","Vendor","Vendor SKU","On Hand","Committed","On Order","On Backorder","Last Update","Date Created","Billable"
"15","=""WFMSP RMM Server""","Remote Monitoring and Management ~ Server","75.00000000","3.27000000","True","False","False","Service","Managed Services","IT Services","Agreement","","False","Active","WF","WFMSP RMM Server","","","0.00","0","0.0000","0.00","12/29/2022 3:48 pm","08/08/2022 9:59 am","Billable"
"16","=""WFMSP RMM Workstation""","Remote Monitoring and Management ~ Workstation","20.00000000","2.99000000","True","False","False","Service","Managed Services","IT Services","Agreement","","False","Active","WF","","","","0.00","0","0.0000","0.00","12/29/2022 3:49 pm","08/08/2022 10:01 am","Billable"
"2238","=""WFMSP Setup""","Installation and configuration of MSP services on end points","500.00000000","250.00000000","True","False","False","Service","Managed Services","IT Services","Service","","False","Active","WF","","","","0.00","0","0.0000","0.00","09/21/2022 5:00 pm","09/02/2022 1:04 pm",""
"2412","=""WFMSP Slvr Pkg""","Silver Program Monthly","50.00000000","19.00000000","True","False","False","Service","Managed Services","IT Services","Agreement","","False","Active","","","","","0.00","0","0.0000","0.00","11/11/2022 8:37 am","11/11/2022 7:37 am",""
"2467","=""WFMSP Slvr Pkg Fee""","Managed Service Provider Silver Tier Package Fee","50.00000000","19.00000000","True","False","False","Other Charge","Managed Services","IT Services","Agreement","","False","Active","Other","WFMSP Slvr Pkg Fee","","","0.00","0","0.0000","0.00","01/26/2023 9:47 am","12/16/2022 9:57 am",""
"2349","=""WFMSP Slvr Svr""","Silver Package Server","100.00000000","50.00000000","True","False","False","Service","Managed Services","IT Services","Agreement","Premium SLA (24 hr)","False","Active","WF","","","","0.00","0","0.0000","0.00","11/08/2022 2:20 pm","10/07/2022 9:09 am","Billable"
"2348","=""WFMSP Slvr Wkst""","Silver Package Workstation","40.00000000","5.53000000","True","False","False","Service","Managed Services","IT Services","Agreement","Premium SLA (24 hr)","False","Active","","","","","0.00","0","0.0000","0.00","12/29/2022 3:50 pm","10/07/2022 9:04 am","Billable"
"26","=""WFMSP Sonicwall""","WFMSP Sonicwall ","0.00000000","50.00000000","True","False","False","Service","Managed Services","IT Services","Agreement","","False","Active","WF","","","","0.00","0","0.0000","0.00","12/29/2022 3:51 pm","08/08/2022 10:41 am","Billable"
"213","=""WFMSP Sonicwall HaaS Program""","WFMSP Sonicwall HaaS Program","0.00000000","75.00000000","True","False","False","Service","Managed Services","Labor","Agreement","","False","Active","WF","WFMSP Sonicwall HaaS Program","","","0.00","0","0.0000","0.00","12/29/2022 3:50 pm","08/26/2022 8:17 am",""
"23","=""WFMSP Surveillance HaaS""","Surveillance System (HaaS) MONTHLY subscription per camera","25.00000000","0.00000000","True","False","False","Service","Managed Services","Surveillance","Agreement","","False","Active","WF","WFMSP Surveillance HaaS","","","0.00","0","0.0000","0.00","09/21/2022 5:00 pm","08/08/2022 10:36 am","Billable"
